Date,Open,High,Low,Close,tick_volume,RSI,Williams_%R,WMA,HMA,EMA,SMA,TEMA,CCI,CMO,MACD,PPO,ROC,DMI,MFI
1988-03-28,1.1766,1.1776,1.1748,1.1767,551,61.848974953707426,-12.45421245421195,1.1608390588235296,1.1671540232708468,1.1637166984625726,1.160442,1.1580717596489458,79.97565429093355,9.926470588235343,0.0012215474395493864,0.10499188786336214,0.1787842669845046,15.521036762287448,35.567635277798985
1988-03-29,1.176,1.1761,1.1755,1.176,121,61.08368307886257,-15.018315018315057,1.1614491764705883,1.1679010030165913,1.1641983965620797,1.160674,1.1596326983174912,70.860278267686,7.0110701107010645,0.0020332887302654257,0.17462165479009245,-0.08496176720476736,16.12294570794012,33.67923993884807
1988-03-30,1.175,1.1756,1.1743999999999999,1.1749,231,59.830833369126886,-19.04761904761866,1.1620070588235292,1.1688333423831072,1.1646180672851354,1.160652,1.1609569410007088,62.99550868970789,0.5671077504725232,0.002558347704697983,0.21956773697820844,-0.1953788651036331,16.500098979200448,32.477106324658195
1988-03-31,1.1809,1.181,1.1798,1.1808,231,64.08569321821538,-0.7092198581559502,1.1627971764705882,1.1700408414134884,1.1652526528817968,1.1607640000000001,1.1628528616196752,103.22641687955482,6.737588652482261,0.0034112190071200477,0.2924740680732748,0.5278392644304429,17.3999874697971,33.95719359114928
1988-04-01,1.1807,1.1812,1.1804999999999999,1.181,111,64.22403280963081,-0.704225352112599,1.1635907450980394,1.1714134175824178,1.1658701959060402,1.161026,1.1646302452195534,101.5101289134439,6.737588652482261,0.004056503144264312,0.34747630643764393,0.853970964987191,18.25529900363067,26.917562260132
1988-04-04,1.1818,1.1824,1.1808,1.182,301,64.95099099550214,-1.3513513513512094,1.1644132549019606,1.172876714716656,1.1665027372430583,1.161332,1.1663868726672273,98.46743295019262,13.503649635036124,0.004595611762889806,0.3932919763293349,1.7036654620547276,19.173209966851516,30.854102183689776
1988-04-05,1.1727,1.1753,1.1713,1.1728,791,54.06627697045533,-32.43243243243203,1.1648629803921569,1.1740905539754363,1.1667496887237228,1.16146,1.1669690771140142,34.140477417138385,2.980132450331154,0.004231715532321267,0.36205105502238943,1.664355062413324,18.40639256106133,29.44936761529752
1988-04-06,1.1693,1.1709,1.1685,1.1692,471,50.49994702021745,-44.59459459459441,1.1651665098039217,1.1749394563671622,1.1668457793620082,1.161396,1.1670994037905715,5.576208178440536,12.681159420290037,0.003611207482362433,0.30895502384044166,1.1243729458571095,17.291385473269646,49.53710299889006
1988-04-07,1.1639,1.1641,1.1635,1.1638,111,45.63711588183404,-66.66666666666693,1.1652607843137257,1.175307913380737,1.1667263370340863,1.16121,1.1666087548414712,-46.639392168322715,19.61538461538449,0.002653131859376323,0.22705995565760936,0.7357396347269066,16.52435120388797,52.79386791878085
1988-04-08,1.1688,1.1694,1.1679,1.1688,301,50.39970838696916,-48.74551971326138,1.1655584313725489,1.1754001094591682,1.1668076571503967,1.161284,1.1667213067378361,-15.566502463054416,23.161764705882153,0.002271128087983909,0.19436332067628556,1.1510168758113448,15.591832079568048,55.94803456278229
1988-04-11,1.1598,1.1602999999999999,1.1596,1.1599,131,43.152773856212235,-81.22743682310505,1.165504156862745,1.1749960935143287,1.1665367686346948,1.161368,1.1658189226358588,-104.14513721437679,7.371794871794744,0.0012359840723576987,0.1058332868817338,-0.29227198487063266,15.242184707214488,57.45914805248072
1988-04-12,1.1594,1.1605,1.1586,1.1593,371,42.70694238657679,-97.05882352941207,1.1654230588235295,1.174198502477914,1.1662529737862755,1.16133,1.1649187734531434,-116.20553359683996,6.050955414012761,0.0003630252672675027,0.031101555350748735,-0.6001886307125196,15.028846909683256,49.960111254031766
1988-04-13,1.1561,1.158,1.1548,1.1557,601,40.03436158550704,-96.73913043478295,1.1652022745098038,1.1730304044386983,1.1658391316770098,1.16126,1.1636823348699814,-134.5154455224692,-12.969283276450552,-0.000612233343755042,-0.05249041452933239,-1.7846519928614029,15.24856788431091,36.97890164594618
1988-04-14,1.1743999999999999,1.1761,1.1708,1.1741,1031,55.397805990530244,-30.072463768116016,1.1657058039215686,1.172163768153415,1.1661630872975193,1.161624,1.164624600910557,25.013844099157467,10.54054054054027,9.845843785138975e-05,0.008437287759520816,-0.16156462585034123,15.015870951355407,47.37437782770328
1988-04-15,1.1775,1.1775,1.1775,1.1775,1,57.5614814721753,-17.753623188405548,1.1663283921568628,1.171699058177117,1.1666076721093812,1.162104,1.1658817762462803,60.348330914367644,1.194029850746134,0.0009253712760004529,0.07924557712289507,0.22129542939824118,14.930457235162171,41.317098646865475
1988-04-18,1.1793,1.18,1.1782,1.1795,341,58.8267616086259,-10.507246376811299,1.1670105882352941,1.1716642400344752,1.167113253595288,1.162644,1.1672702437166649,72.38202669674922,5.124450951683833,0.0017222360776729673,0.14737623563400828,-0.11009485094851615,15.087737986915839,46.32920363043063
1988-04-19,1.1748,1.176,1.1726,1.1752,641,55.02807112726699,-26.086956521738816,1.1675029803921568,1.1718704212454212,1.1674303809052766,1.163152,1.1680661495010345,30.03300330033001,0.4195804195803727,0.001983913787499736,0.1696976672280448,-0.49110922946655605,14.523881649610157,42.823090165013625
1988-04-20,1.1758,1.1772,1.1755,1.1758,341,55.46026053390764,-23.913043478260782,1.1679989803921567,1.1723065781081663,1.1677586012619325,1.1635280000000001,1.168868202401963,49.2166079122595,-7.552870090634611,0.002214186479956748,0.1893139402254037,-0.5245346869712338,14.127608676664874,43.95387904259826
1988-04-21,1.175,1.1753,1.1747,1.175,121,54.705366566060995,-26.81159420289816,1.168448862745098,1.172871738849386,1.1680425776830332,1.163894,1.1695168861836838,44.37213786454435,-8.982035928143725,0.002305548999916418,0.1970578890480352,0.18758526603001188,13.653775144078818,41.862863778997685
1988-04-22,1.1697,1.1706,1.1694,1.1699,221,50.030159904415996,-40.079365079365246,1.1686843921568628,1.1733317739711269,1.1681154177738948,1.164474,1.1695370645328855,2.1650042526881323,-17.066290550070477,0.0019440176523075614,0.16615829544354876,0.05986999657885074,12.822363632567445,36.94411038097517
1988-04-25,1.1666,1.1678,1.1657,1.1663999999999999,401,47.0579052025602,-53.96825396825443,1.1687599215686275,1.1735061452273217,1.168048146488644,1.1649120000000002,1.169157784465317,-30.360860513533208,-9.815950920245625,0.0013594102699665545,0.11621730461444878,0.22340608351949956,12.486743105918885,39.80365040490491
1988-04-26,1.1682,1.17,1.1676,1.1681,471,48.65352824317686,-47.22222222222251,1.1688849411764706,1.173467282266753,1.1680501799596776,1.1654,1.168998122081521,-7.615982837219489,-1.737756714060181,0.0010215052237452227,0.0873384016270551,-0.05989048596852711,11.878578820098129,49.06602778950345
1988-04-27,1.1663999999999999,1.1675,1.1642000000000001,1.1667,631,47.38689401752395,-52.77777777777749,1.1689359215686275,1.173204474035768,1.1679972317259648,1.16583,1.1686909506301877,-37.9690949227368,4.8903878583475855,0.0006334428060648101,0.05416910746371088,0.5862574359858729,11.725823800104541,44.52222983026037
1988-04-28,1.1716,1.1721,1.1706,1.1714,281,51.91294617581129,-34.12698412698404,1.1691543529411765,1.1729003253609136,1.1681306736190642,1.166358,1.1689377942431456,20.256620256618103,4.406779661016844,0.0006971153528272378,0.05960646366935213,1.0437332873285603,10.95322044457629,44.32996280643552
1988-04-29,1.1693,1.172,1.1678,1.1693,841,49.849502758319176,-42.46031746031738,1.169269725490196,1.1725135638870932,1.1681765295555715,1.1668260000000001,1.1689271162177564,-7.867105469366084,18.007662835249256,0.0005715355492614815,0.0488695431147349,1.1767759799255912,10.590446115745939,39.32016356045507
1988-05-02,1.166,1.1678,1.1649,1.1663000000000001,551,46.97682325397478,-54.365079365078905,1.1692490980392156,1.1719970573152338,1.1681029401612355,1.1671140000000002,1.1685768914414456,-64.9314593093842,12.820512820513091,0.00022731734932524006,0.019440883455942953,-0.6643386423643478,10.609439946871678,38.21682295495787
1988-05-03,1.1662,1.1663999999999999,1.1659,1.1661,91,46.78326562067597,-87.97468354430498,1.1692093333333335,1.1714112475759533,1.1680243934882457,1.1673140000000002,1.1682301403150561,-92.18813905930217,20.312499999999968,-6.09142016141373e-05,-0.005210619086174057,-0.9681528662420447,10.627077075774151,41.438539793272774
1988-05-04,1.1639,1.1641,1.163,1.1639,221,44.606067436171664,-94.70588235294173,1.169075450980392,1.170732579400991,1.167862652567138,1.1675060000000002,1.1676608133617883,-113.960579331374,-29.14285714285717,-0.00046154103837170446,-0.03949322039981289,-1.3225943196269656,11.011712927309523,27.92159408466648
1988-05-05,1.1656,1.1673,1.1648,1.1655,491,46.5541328800896,-85.29411764705905,1.1689967843137257,1.1700374621848737,1.1677699995252897,1.167754,1.167316285384033,-71.70813197303305,-36.144578313253156,-0.0006425274086137023,-0.05499090273760282,-0.8253914227365591,10.835987735486809,34.158315796561226
1988-05-06,1.1634,1.164,1.1629,1.1637,191,44.6516697265525,-94.40559440559501,1.1688378039215686,1.1693081284205988,1.1676103917007685,1.167844,1.1667952414588796,-103.9215686274529,-47.87878787878811,-0.0009205933407563371,-0.07881286755785508,-1.0290865793502297,10.930800454208265,28.85374451296424
1988-05-09,1.1633,1.164,1.163,1.1633,201,44.219214445481065,-97.20279720279751,1.1686596078431373,1.1685642570566688,1.167441356732111,1.167942,1.166270042687946,-95.23507882882949,-40.89347079037822,-0.0011598690045062643,-0.09932756048044047,-0.9957446808510675,11.01884083587819,31.3908588137856
1988-05-10,1.1652,1.1655,1.1648,1.1651,131,46.71993654337787,-82.25806451612915,1.168548156862745,1.167905897651368,1.1673495388210477,1.16805,1.1659903486224006,-53.734439834021295,-35.3135313531351,-0.0011905280686463904,-0.10197006225123538,-0.41029147790408715,10.820984144074853,28.37652948246216
1988-05-11,1.1658,1.1658,1.1655,1.1658,61,47.701859184523215,-68.47826086956584,1.1684599215686275,1.1673634970911442,1.1672887725927712,1.168272,1.1658132814345914,-30.955360867752667,-30.463576158940715,-0.0011451409756662034,-0.09809335536596774,-0.05144032921810134,10.579572151509,30.011187657227097
1988-05-12,1.1643,1.1647,1.163,1.164,311,45.38558672556422,-88.04347826087071,1.1682923921568626,1.166873365438483,1.167159801118545,1.1684960000000002,1.165448440127712,-88.60759493671284,-21.93308550185886,-0.0012401209914147948,-0.1062523083099621,-0.3509973461176263,10.77029672613908,29.4654844865306
1988-05-13,1.1628,1.1641,1.1617,1.1628,481,43.85667141874479,-89.42307692307591,1.1680690196078432,1.1663916696832581,1.1669888285256609,1.168622,1.1649783815255492,-108.64288341301534,-14.634146341462865,-0.0013961295964439735,-0.11965198023871726,-0.33427616353818584,11.15776484279545,28.9988242275236
1988-05-16,1.1584,1.1597,1.1581,1.1587,291,39.02006490974091,-95.7142857142846,1.1676799215686273,1.165798139625081,1.1666637764266152,1.168506,1.1640836221544655,-198.5119047618995,-34.81481481481467,-0.0018295137787722737,-0.15687506484206354,-1.0841727847020601,12.067903312212568,20.22005719609797
1988-05-17,1.1473,1.1474,1.1473,1.1473,21,29.333418528723527,-100.0,1.1668483137254901,1.1647780741219564,1.1659044126451794,1.1680260000000002,1.161971882789602,-329.38382193267836,-52.432432432432776,-0.003057612340097604,-0.2624961681877487,-1.8814675446848557,14.157856170650307,23.185081813912277
1988-05-18,1.1466,1.1466,1.1466,1.1466,1,28.859662683910784,-100.0,1.1660080784313727,1.1633793658694247,1.1651473768551726,1.167514,1.1599482825440144,-215.84703342584925,-75.15151515151514,-0.004040793693385503,-0.3473047802090121,-1.6891022892909242,16.164463795106716,17.592454008033585
1988-05-19,1.1505,1.151,1.1501000000000001,1.1504,171,34.99720078556709,-82.07547169811299,1.1653369411764707,1.1617772829131652,1.1645690483510482,1.16703,1.1585169172512702,-120.40382145151123,-54.46685878962519,-0.004461909640338879,-0.3838189770318564,-1.3463682360003282,17.049754039720305,26.557706390253017
1988-05-20,1.1482999999999999,1.1485,1.1482999999999999,1.1484,31,33.36562006910334,-91.30434782608681,1.1646063529411765,1.1599983915104501,1.1639349680235562,1.166458,1.1569778800099055,-113.18836782813696,-53.11572700296734,-0.004900539973247131,-0.42192967839236545,-1.3317295300283398,18.079395648316787,31.7057177514221
1988-05-23,1.1491,1.1496,1.1482999999999999,1.149,251,34.35437122724147,-88.40579710144945,1.1639217254901961,1.1581595789700496,1.1633492830030248,1.1658940000000002,1.1556348031915493,-87.5762564152245,-50.14662756598239,-0.0051404863597339645,-0.4429406852260702,-1.4157014157014123,18.790647934349145,38.664206711251325
1988-05-24,1.1493,1.1509,1.1485,1.1493,481,34.87471809945106,-86.95652173913076,1.163270980392157,1.1563570058177115,1.1627983307283964,1.1653879999999999,1.1544399268629353,-68.71205151793612,-45.34161490683243,-0.0052459658778105656,-0.45235396123723787,-1.2374323279195643,19.157350617291566,50.81433441327029
